1st army:
HealingTower10 - heal power 15, hp 30
CavalryArcher2174 - attack power 10, hp 7
AttackingTower1175 - attack power 20, hp 30
AttackingTower1176 - attack power 20, hp 30
Warrior6177 - attack power 2, hp 5
Tower1178 - attack power 20, hp 30
Cavalry3179 - attack power 7, hp 10
CavalryArcher2180 - attack power 10, hp 7
Warrior6181 - attack power 2, hp 5
Tower1182 - attack power 20, hp 30
Healer5183 - heal power 2, hp 3
AttackingTower1184 - attack power 20, hp 30
AttackingTower1185 - attack power 20, hp 30
Healer5186 - heal power 2, hp 3
Archer4187 - attack power 3, hp 3
CavalryArcher2188 - attack power 10, hp 7
HealingTower1189 - heal power 15, hp 30
Cavalry3190 - attack power 7, hp 10
AttackingTower1191 - attack power 20, hp 30
Tower1192 - attack power 20, hp 30
Warrior6193 - attack power 2, hp 5
CavalryArcher2194 - attack power 10, hp 7
CavalryArcher2195 - attack power 10, hp 7
Healer5196 - heal power 2, hp 3
HealingTower1197 - heal power 15, hp 30
Tower1198 - attack power 20, hp 30
Cavalry3199 - attack power 7, hp 10


HealingTower10 heals { }
AttackingTower11 (power 20) attacks HealingTower1105 (hp 30) -> HealingTower1105(10)
AttackingTower14 (power 20) attacks AttackingTower1176 (hp 30) -> AttackingTower1176(10)
HealingTower15 heals { }
AttackingTower16 (power 20) attacks Archer4164 (hp 3) -> Archer4164 is dead
AttackingTower18 (power 20) attacks Healer5165 (hp 3) -> Healer5165 is dead
HealingTower19 heals { }
AttackingTower111 (power 20) attacks AttackingTower1176 (hp 10) -> AttackingTower1176 is dead
AttackingTower112 (power 20) attacks Tower1153 (hp 30) -> Tower1153(10)
Tower119 (power 20) attacks CavalryArcher2123 (hp 7) -> CavalryArcher2123 is dead
Tower124 (power 20) attacks AttackingTower1128 (hp 30) -> AttackingTower1128(10)
Tower125 (power 20) attacks Cavalry3199 (hp 10) -> Cavalry3199 is dead
Tower126 (power 20) attacks Tower1178 (hp 30) -> Tower1178(10)
AttackingTower129 (power 20) attacks Healer5114 (hp 3) -> Healer5114 is dead
Tower130 (power 20) attacks Cavalry3131 (hp 10) -> Cavalry3131 is dead
AttackingTower131 (power 20) attacks Cavalry3171 (hp 10) -> Cavalry3171 is dead
Tower132 (power 20) attacks Cavalry3158 (hp 10) -> Cavalry3158 is dead
HealingTower138 heals { }
Tower140 (power 20) attacks Archer4102 (hp 3) -> Archer4102 is dead
HealingTower141 heals { }
HealingTower142 heals { }
Tower144 (power 20) attacks Warrior6160 (hp 5) -> Warrior6160 is dead
HealingTower145 heals { }
AttackingTower147 (power 20) attacks HealingTower1135 (hp 30) -> HealingTower1135(10)
HealingTower152 heals { }
HealingTower154 heals { }
HealingTower163 heals { }
AttackingTower169 (power 20) attacks Tower1148 (hp 30) -> Tower1148(10)
Tower179 (power 20) attacks AttackingTower1128 (hp 10) -> AttackingTower1128 is dead
Tower180 (power 20) attacks HealingTower1147 (hp 30) -> HealingTower1147(10)
HealingTower188 heals { }
Tower189 (power 20) attacks HealingTower1168 (hp 30) -> HealingTower1168(10)
AttackingTower195 (power 20) attacks Cavalry3129 (hp 10) -> Cavalry3129 is dead
AttackingTower196 (power 20) attacks Tower1161 (hp 30) -> Tower1161(10)
Tower197 (power 20) attacks Warrior6138 (hp 5) -> Warrior6138 is dead
HealingTower198 heals { }
AttackingTower199 (power 20) attacks Healer5155 (hp 3) -> Healer5155 is dead
HealingTower1100 heals {  HealingTower1105 (10) -> 25, }
AttackingTower1101 (power 20) attacks Tower189 (hp 30) -> Tower189(10)
Tower1103 (power 20) attacks Archer416 (hp 3) -> Archer416 is dead
HealingTower1105 heals {  HealingTower1135 (10) -> 25, }
HealingTower1107 heals {  HealingTower1105 (25) -> 30,  HealingTower1135 (25) -> 30,  HealingTower1147 (10) -> 25, }
HealingTower1110 heals {  HealingTower1147 (25) -> 30,  HealingTower1168 (10) -> 25, }
AttackingTower1112 (power 20) attacks HealingTower19 (hp 30) -> HealingTower19(10)
Tower1122 (power 20) attacks AttackingTower111 (hp 30) -> AttackingTower111(10)
Tower1127 (power 20) attacks CavalryArcher235 (hp 7) -> CavalryArcher235 is dead
AttackingTower1128 (power 20) attacks Healer533 (hp 3) -> Healer533 is dead
HealingTower1134 heals {  HealingTower1168 (25) -> 30, }
HealingTower1135 heals { }
Tower1136 (power 20) attacks Cavalry394 (hp 10) -> Cavalry394 is dead
HealingTower1140 heals { }
HealingTower1143 heals { }
Tower1144 (power 20) attacks Warrior67 (hp 5) -> Warrior67 is dead
Tower1146 (power 20) attacks CavalryArcher283 (hp 7) -> CavalryArcher283 is dead
HealingTower1147 heals { }
Tower1148 (power 20) attacks Archer460 (hp 3) -> Archer460 is dead
AttackingTower1149 (power 20) attacks Warrior664 (hp 5) -> Warrior664 is dead
HealingTower1152 heals { }
Tower1153 (power 20) attacks Archer477 (hp 3) -> Archer477 is dead
Tower1161 (power 20) attacks Warrior655 (hp 5) -> Warrior655 is dead
HealingTower1162 heals { }
Tower1163 (power 20) attacks Archer456 (hp 3) -> Archer456 is dead
HealingTower1168 heals { }
AttackingTower1173 (power 20) attacks Cavalry373 (hp 10) -> Cavalry373 is dead
AttackingTower1175 (power 20) attacks Warrior665 (hp 5) -> Warrior665 is dead
AttackingTower1176 (power 20) attacks Archer421 (hp 3) -> Archer421 is dead
Tower1178 (power 20) attacks Tower125 (hp 30) -> Tower125(10)
Tower1182 (power 20) attacks Tower124 (hp 30) -> Tower124(10)
AttackingTower1184 (power 20) attacks AttackingTower199 (hp 30) -> AttackingTower199(10)
AttackingTower1185 (power 20) attacks CavalryArcher284 (hp 7) -> CavalryArcher284 is dead
HealingTower1189 heals { }
AttackingTower1191 (power 20) attacks Warrior687 (hp 5) -> Warrior687 is dead
Tower1192 (power 20) attacks Healer550 (hp 3) -> Healer550 is dead
HealingTower1197 heals { }
Tower1198 (power 20) attacks HealingTower145 (hp 30) -> HealingTower145(10)
CavalryArcher210 (power 10) attacks Warrior6169 (hp 5) -> Warrior6169 is dead
CavalryArcher222 (power 10) attacks CavalryArcher2188 (hp 7) -> CavalryArcher2188 is dead
CavalryArcher223 (power 10) attacks Tower1182 (hp 30) -> Tower1182(20)
CavalryArcher235 (power 10) attacks AttackingTower1191 (hp 30) -> AttackingTower1191(20)
CavalryArcher239 (power 10) attacks Warrior6109 (hp 5) -> Warrior6109 is dead
CavalryArcher246 (power 10) attacks AttackingTower1173 (hp 30) -> AttackingTower1173(20)
CavalryArcher275 (power 10) attacks AttackingTower1185 (hp 30) -> AttackingTower1185(20)
CavalryArcher276 (power 10) attacks Cavalry3179 (hp 10) -> Cavalry3179 is dead
CavalryArcher278 (power 10) attacks Archer4130 (hp 3) -> Archer4130 is dead
CavalryArcher283 (power 10) attacks HealingTower1107 (hp 30) -> HealingTower1107(20)
CavalryArcher284 (power 10) attacks CavalryArcher2194 (hp 7) -> CavalryArcher2194 is dead
CavalryArcher286 (power 10) attacks CavalryArcher2117 (hp 7) -> CavalryArcher2117 is dead
CavalryArcher290 (power 10) attacks HealingTower1107 (hp 20) -> HealingTower1107(10)
CavalryArcher292 (power 10) attacks Archer4187 (hp 3) -> Archer4187 is dead
CavalryArcher293 (power 10) attacks AttackingTower1191 (hp 20) -> AttackingTower1191(10)
CavalryArcher2106 (power 10) attacks Archer462 (hp 3) -> Archer462 is dead
CavalryArcher2108 (power 10) attacks CavalryArcher293 (hp 7) -> CavalryArcher293 is dead
CavalryArcher2117 (power 10) attacks Cavalry32 (hp 10) -> Cavalry32 is dead
CavalryArcher2118 (power 10) attacks AttackingTower14 (hp 30) -> AttackingTower14(20)
CavalryArcher2121 (power 10) attacks HealingTower152 (hp 30) -> HealingTower152(20)
CavalryArcher2123 (power 10) attacks CavalryArcher222 (hp 7) -> CavalryArcher222 is dead
CavalryArcher2124 (power 10) attacks AttackingTower111 (hp 10) -> AttackingTower111 is dead
CavalryArcher2139 (power 10) attacks HealingTower188 (hp 30) -> HealingTower188(20)
CavalryArcher2154 (power 10) attacks AttackingTower147 (hp 30) -> AttackingTower147(20)
CavalryArcher2172 (power 10) attacks AttackingTower112 (hp 30) -> AttackingTower112(20)
CavalryArcher2174 (power 10) attacks HealingTower10 (hp 30) -> HealingTower10(20)
CavalryArcher2180 (power 10) attacks Tower179 (hp 30) -> Tower179(20)
CavalryArcher2188 (power 10) attacks CavalryArcher276 (hp 7) -> CavalryArcher276 is dead
CavalryArcher2194 (power 10) attacks CavalryArcher275 (hp 7) -> CavalryArcher275 is dead
CavalryArcher2195 (power 10) attacks Warrior651 (hp 5) -> Warrior651 is dead
Cavalry32 (power 7) attacks CavalryArcher2180 (hp 7) -> CavalryArcher2180 is dead
Cavalry315 (power 7) attacks Tower1148 (hp 10) -> Tower1148(3)
Cavalry327 (power 7) attacks HealingTower1107 (hp 10) -> HealingTower1107(3)
Cavalry349 (power 7) attacks Cavalry3111 (hp 10) -> Cavalry3111(3)
Cavalry359 (power 7) attacks Tower1122 (hp 30) -> Tower1122(23)
Cavalry361 (power 7) attacks Cavalry3104 (hp 10) -> Cavalry3104(3)
Cavalry367 (power 7) attacks Healer5170 (hp 3) -> Healer5170 is dead
Cavalry370 (power 7) attacks Tower1198 (hp 30) -> Tower1198(23)
Cavalry372 (power 7) attacks Archer4150 (hp 3) -> Archer4150 is dead
Cavalry373 (power 7) attacks HealingTower1152 (hp 30) -> HealingTower1152(23)
Cavalry382 (power 7) attacks Cavalry3111 (hp 3) -> Cavalry3111 is dead
Cavalry391 (power 7) attacks Cavalry3190 (hp 10) -> Cavalry3190(3)
Cavalry394 (power 7) attacks AttackingTower1185 (hp 20) -> AttackingTower1185(13)
Cavalry3104 (power 7) attacks Archer474 (hp 3) -> Archer474 is dead
Cavalry3111 (power 7) attacks HealingTower19 (hp 10) -> HealingTower19(3)
Cavalry3129 (power 7) attacks Warrior643 (hp 5) -> Warrior643 is dead
Cavalry3131 (power 7) attacks AttackingTower112 (hp 20) -> AttackingTower112(13)
Cavalry3137 (power 7) attacks Cavalry359 (hp 10) -> Cavalry359(3)
Cavalry3158 (power 7) attacks Archer420 (hp 3) -> Archer420 is dead
Cavalry3166 (power 7) attacks HealingTower154 (hp 30) -> HealingTower154(23)
Cavalry3171 (power 7) attacks HealingTower142 (hp 30) -> HealingTower142(23)
Cavalry3179 (power 7) attacks Healer548 (hp 3) -> Healer548 is dead
Cavalry3190 (power 7) attacks AttackingTower129 (hp 30) -> AttackingTower129(23)
Cavalry3199 (power 7) attacks AttackingTower18 (hp 30) -> AttackingTower18(23)
Archer43 (power 3) attacks Archer4145 (hp 3) -> Archer4145 is dead
Archer416 (power 3) attacks Warrior6177 (hp 5) -> Warrior6177(2)
Archer417 (power 3) attacks AttackingTower1184 (hp 30) -> AttackingTower1184(27)
Archer420 (power 3) attacks Healer5120 (hp 3) -> Healer5120 is dead
Archer421 (power 3) attacks Warrior6126 (hp 5) -> Warrior6126(2)
Archer437 (power 3) attacks HealingTower1105 (hp 30) -> HealingTower1105(27)
Archer456 (power 3) attacks HealingTower1135 (hp 30) -> HealingTower1135(27)
Archer460 (power 3) attacks Cavalry3137 (hp 10) -> Cavalry3137(7)
Archer462 (power 3) attacks Warrior6167 (hp 5) -> Warrior6167(2)
Archer466 (power 3) attacks AttackingTower1173 (hp 20) -> AttackingTower1173(17)
Archer474 (power 3) attacks Tower1161 (hp 10) -> Tower1161(7)
Archer477 (power 3) attacks Warrior6181 (hp 5) -> Warrior6181(2)
Archer481 (power 3) attacks HealingTower1162 (hp 30) -> HealingTower1162(27)
Archer4102 (power 3) attacks CavalryArcher210 (hp 7) -> CavalryArcher210(4)
Archer4113 (power 3) attacks Archer417 (hp 3) -> Archer417 is dead
Archer4115 (power 3) attacks AttackingTower169 (hp 30) -> AttackingTower169(27)
Archer4119 (power 3) attacks Cavalry349 (hp 10) -> Cavalry349(7)
Archer4130 (power 3) attacks HealingTower138 (hp 30) -> HealingTower138(27)
Archer4132 (power 3) attacks Warrior614 (hp 5) -> Warrior614(2)
Archer4133 (power 3) attacks Tower119 (hp 30) -> Tower119(27)
Archer4145 (power 3) attacks Tower130 (hp 30) -> Tower130(27)
Archer4150 (power 3) attacks Healer568 (hp 3) -> Healer568 is dead
Archer4151 (power 3) attacks HealingTower142 (hp 23) -> HealingTower142(20)
Archer4156 (power 3) attacks CavalryArcher286 (hp 7) -> CavalryArcher286(4)
Archer4157 (power 3) attacks HealingTower188 (hp 20) -> HealingTower188(17)
Archer4164 (power 3) attacks HealingTower154 (hp 23) -> HealingTower154(20)
Archer4187 (power 3) attacks CavalryArcher223 (hp 7) -> CavalryArcher223(4)
Healer533 heals {  CavalryArcher210 (4) -> 6, }
Healer536 heals {  CavalryArcher210 (6) -> 7, }
Healer548 heals {  Warrior614 (2) -> 4, }
Healer550 heals {  Warrior614 (4) -> 5, }
Healer568 heals {  CavalryArcher223 (4) -> 6, }
Healer571 heals {  CavalryArcher223 (6) -> 7, }
Healer585 heals {  HealingTower138 (27) -> 29, }
Healer5114 heals {  HealingTower1105 (27) -> 29, }
Healer5116 heals {  HealingTower1105 (29) -> 30, }
Healer5120 heals {  Warrior6126 (2) -> 4, }
Healer5155 heals {  Warrior6126 (4) -> 5, }
Healer5159 heals {  HealingTower1135 (27) -> 29, }
Healer5165 heals {  HealingTower1135 (29) -> 30, }
Healer5170 heals {  Cavalry3137 (7) -> 9, }
Healer5183 heals {  Cavalry3137 (9) -> 10, }
Healer5186 heals {  HealingTower1162 (27) -> 29, }
Healer5196 heals {  HealingTower1162 (29) -> 30, }
Warrior67 (power 2) attacks AttackingTower1184 (hp 27) -> AttackingTower1184(25)
Warrior613 (power 2) attacks Healer5159 (hp 3) -> Healer5159(1)
Warrior614 (power 2) attacks Tower1161 (hp 7) -> Tower1161(5)
Warrior618 (power 2) attacks Warrior6141 (hp 5) -> Warrior6141(3)
Warrior628 (power 2) attacks Tower1153 (hp 10) -> Tower1153(8)
Warrior634 (power 2) attacks Tower1146 (hp 30) -> Tower1146(28)
Warrior643 (power 2) attacks Cavalry3137 (hp 10) -> Cavalry3137(8)
Warrior651 (power 2) attacks Warrior6193 (hp 5) -> Warrior6193(3)
Warrior653 (power 2) attacks Tower1178 (hp 10) -> Tower1178(8)
Warrior655 (power 2) attacks Tower1198 (hp 23) -> Tower1198(21)
Warrior657 (power 2) attacks CavalryArcher2195 (hp 7) -> CavalryArcher2195(5)
Warrior658 (power 2) attacks Archer4132 (hp 3) -> Archer4132(1)
Warrior664 (power 2) attacks Archer4157 (hp 3) -> Archer4157(1)
Warrior665 (power 2) attacks CavalryArcher2139 (hp 7) -> CavalryArcher2139(5)
Warrior687 (power 2) attacks Archer4133 (hp 3) -> Archer4133(1)
Warrior6109 (power 2) attacks Tower189 (hp 10) -> Tower189(8)
Warrior6125 (power 2) attacks HealingTower138 (hp 29) -> HealingTower138(27)
Warrior6126 (power 2) attacks Tower126 (hp 30) -> Tower126(28)
Warrior6138 (power 2) attacks Cavalry359 (hp 3) -> Cavalry359(1)
Warrior6141 (power 2) attacks Cavalry370 (hp 10) -> Cavalry370(8)
Warrior6142 (power 2) attacks AttackingTower11 (hp 30) -> AttackingTower11(28)
Warrior6160 (power 2) attacks CavalryArcher223 (hp 7) -> CavalryArcher223(5)
Warrior6167 (power 2) attacks Cavalry361 (hp 10) -> Cavalry361(8)
Warrior6169 (power 2) attacks Archer466 (hp 3) -> Archer466(1)
Warrior6177 (power 2) attacks Cavalry367 (hp 10) -> Cavalry367(8)
Warrior6181 (power 2) attacks Cavalry382 (hp 10) -> Cavalry382(8)
Warrior6193 (power 2) attacks Cavalry359 (hp 1) -> Cavalry359 is dead
HealingTower10 heals {  AttackingTower11 (28) -> 30,  CavalryArcher223 (5) -> 7,  Cavalry361 (8) -> 10, }
AttackingTower11 (power 20) attacks HealingTower1107 (hp 3) -> HealingTower1107 is dead
AttackingTower14 (power 20) attacks HealingTower1135 (hp 30) -> HealingTower1135(10)
HealingTower15 heals {  Archer466 (1) -> 3,  Cavalry367 (8) -> 10,  Cavalry370 (8) -> 10, }
AttackingTower16 (power 20) attacks HealingTower1147 (hp 30) -> HealingTower1147(10)
AttackingTower18 (power 20) attacks AttackingTower1191 (hp 10) -> AttackingTower1191 is dead
HealingTower19 heals {  Cavalry382 (8) -> 10,  HealingTower138 (27) -> 30,  Cavalry349 (7) -> 10, }
AttackingTower111 (power 20) attacks Warrior6126 (hp 5) -> Warrior6126 is dead
AttackingTower112 (power 20) attacks Archer4113 (hp 3) -> Archer4113 is dead
Tower119 (power 20) attacks AttackingTower1149 (hp 30) -> AttackingTower1149(10)
Tower124 (power 20) attacks Archer4156 (hp 3) -> Archer4156 is dead
Tower125 (power 20) attacks Warrior6141 (hp 3) -> Warrior6141 is dead
Tower126 (power 20) attacks Tower1146 (hp 28) -> Tower1146(8)
AttackingTower129 (power 20) attacks HealingTower1147 (hp 10) -> HealingTower1147 is dead
Tower130 (power 20) attacks Cavalry3104 (hp 3) -> Cavalry3104 is dead
AttackingTower131 (power 20) attacks AttackingTower1101 (hp 30) -> AttackingTower1101(10)
Tower132 (power 20) attacks AttackingTower1184 (hp 25) -> AttackingTower1184(5)
HealingTower138 heals {  AttackingTower169 (27) -> 30,  CavalryArcher286 (4) -> 7,  AttackingTower18 (23) -> 30, }
Tower140 (power 20) attacks Tower1136 (hp 30) -> Tower1136(10)
HealingTower141 heals {  AttackingTower129 (23) -> 30,  HealingTower10 (20) -> 30, }
HealingTower142 heals {  AttackingTower14 (20) -> 30,  AttackingTower147 (20) -> 30, }
Tower144 (power 20) attacks AttackingTower1149 (hp 10) -> AttackingTower1149 is dead
HealingTower145 heals {  HealingTower142 (20) -> 30,  HealingTower152 (20) -> 30, }
AttackingTower147 (power 20) attacks HealingTower1168 (hp 30) -> HealingTower1168(10)
HealingTower152 heals {  HealingTower154 (20) -> 30,  HealingTower188 (17) -> 30, }
HealingTower154 heals {  AttackingTower112 (13) -> 28, }
HealingTower163 heals {  AttackingTower112 (28) -> 30,  HealingTower145 (10) -> 25, }
AttackingTower169 (power 20) attacks Healer5196 (hp 3) -> Healer5196 is dead
Tower179 (power 20) attacks AttackingTower1112 (hp 30) -> AttackingTower1112(10)
Tower180 (power 20) attacks Tower1127 (hp 30) -> Tower1127(10)
HealingTower188 heals {  HealingTower145 (25) -> 30,  AttackingTower199 (10) -> 25, }
Tower189 (power 20) attacks Healer5159 (hp 1) -> Healer5159 is dead
AttackingTower195 (power 20) attacks Warrior6125 (hp 5) -> Warrior6125 is dead
AttackingTower196 (power 20) attacks Tower1144 (hp 30) -> Tower1144(10)
Tower197 (power 20) attacks Tower1146 (hp 8) -> Tower1146 is dead
HealingTower198 heals {  AttackingTower199 (25) -> 30,  HealingTower19 (3) -> 18, }
AttackingTower199 (power 20) attacks AttackingTower1112 (hp 10) -> AttackingTower1112 is dead
HealingTower1100 heals {  Archer4132 (1) -> 3,  Archer4133 (1) -> 3,  Cavalry3137 (8) -> 10, }
AttackingTower1101 (power 20) attacks CavalryArcher290 (hp 7) -> CavalryArcher290 is dead
Tower1103 (power 20) attacks AttackingTower195 (hp 30) -> AttackingTower195(10)
HealingTower1105 heals {  CavalryArcher2139 (5) -> 7,  Archer4157 (1) -> 3,  Warrior6193 (3) -> 5, }
HealingTower1107 heals {  CavalryArcher2195 (5) -> 7,  Warrior6167 (2) -> 5,  Warrior6177 (2) -> 5, }
HealingTower1110 heals {  Warrior6181 (2) -> 5,  HealingTower1152 (23) -> 30,  Cavalry3190 (3) -> 10, }
AttackingTower1112 (power 20) attacks Healer571 (hp 3) -> Healer571 is dead
Tower1122 (power 20) attacks Archer437 (hp 3) -> Archer437 is dead
Tower1127 (power 20) attacks AttackingTower131 (hp 30) -> AttackingTower131(10)
AttackingTower1128 (power 20) attacks AttackingTower11 (hp 30) -> AttackingTower11(10)
HealingTower1134 heals {  AttackingTower1173 (17) -> 30,  AttackingTower1185 (13) -> 28, }
HealingTower1135 heals {  AttackingTower1185 (28) -> 30,  AttackingTower1101 (10) -> 25, }
Tower1136 (power 20) attacks AttackingTower199 (hp 30) -> AttackingTower199(10)
HealingTower1140 heals {  AttackingTower1101 (25) -> 30,  HealingTower1135 (10) -> 25, }
HealingTower1143 heals {  HealingTower1135 (25) -> 30,  HealingTower1168 (10) -> 25, }
Tower1144 (power 20) attacks Cavalry361 (hp 10) -> Cavalry361 is dead
Tower1146 (power 20) attacks AttackingTower169 (hp 30) -> AttackingTower169(10)
HealingTower1147 heals {  HealingTower1168 (25) -> 30,  AttackingTower1184 (5) -> 20, }
Tower1148 (power 20) attacks AttackingTower16 (hp 30) -> AttackingTower16(10)
AttackingTower1149 (power 20) attacks Cavalry349 (hp 10) -> Cavalry349 is dead
HealingTower1152 heals {  AttackingTower1184 (20) -> 30, }
Tower1153 (power 20) attacks CavalryArcher223 (hp 7) -> CavalryArcher223 is dead
Tower1161 (power 20) attacks Tower126 (hp 28) -> Tower126(8)
HealingTower1162 heals { }
Tower1163 (power 20) attacks AttackingTower169 (hp 10) -> AttackingTower169 is dead
HealingTower1168 heals { }
AttackingTower1173 (power 20) attacks HealingTower138 (hp 30) -> HealingTower138(10)
